dt,temp,temp_min,temp_max,pressure,humidity,weather_main,weather_description,wind_speed,wind_deg,dt_txt
1487246400,286.67,281.556,286.67,972.73,75,Clear,clear sky,1.81,247.501,2017-02-16 12:00:00
1487257200,285.66,281.821,285.66,970.91,70,Clear,clear sky,1.59,290.501,2017-02-16 15:00:00
1487268000,277.05,274.498,277.05,970.44,90,Clear,clear sky,1.41,263.5,2017-02-16 18:00:00
1487278800,272.78,271.503,272.78,969.32,80,Clear,clear sky,2.24,205.502,2017-02-16 21:00:00
1487289600,273.341,273.341,273.341,968.14,85,Clouds,broken clouds,3.59,224.003,2017-02-17 00:00:00 
